drift_per_month,seed,dgp_seed,month,pAUC,positives,rows
0.01,2,0,5,0.5938087942059954,4318,420750
0.01,2,0,6,0.5977391013819385,4101,419239
0.01,2,0,7,0.5953864997776009,4166,419922
0.01,2,0,8,0.5979297575089451,4262,419647
0.01,2,0,9,0.6047265008490216,4093,419569
0.01,2,0,10,0.5869132554137476,4220,420026
0.01,2,0,11,0.5837180503988079,4194,420490
0.01,2,0,12,0.590817580857258,4131,420000
0.01,3,0,0,0.6113037094593935,4258,420041
0.01,3,0,1,0.6008733225697716,4259,421305
0.01,3,0,2,0.6004027979004897,4124,418707
0.01,3,0,3,0.6032014314413615,4084,419699
0.01,3,0,4,0.606455730925751,4236,419640
0.01,3,0,5,0.6002827798529895,4253,419243
0.01,3,0,6,0.6027539246193513,4285,419457
0.01,3,0,7,0.5973874185628251,4259,419737
0.01,3,0,8,0.5955487221569417,4317,419869
0.01,3,0,9,0.5947668649115201,4064,420598
0.01,3,0,10,0.5923371445391312,4309,420996
0.01,3,0,11,0.5837405673241781,4181,420275
0.01,3,0,12,0.5739283861083453,4333,420000
0.01,4,0,0,0.5972675090927368,4189,419559
0.01,4,0,1,0.6103430846046396,4268,420189
0.01,4,0,2,0.6058113521617461,4418,420198
0.01,4,0,3,0.6019761468254811,4281,420081
0.01,4,0,4,0.5993732786738152,4137,420742
0.01,4,0,5,0.5975443026045807,4092,419794
0.01,4,0,6,0.6111928292059474,4311,419690
0.01,4,0,7,0.6024760754050154,4181,420708
0.01,4,0,8,0.5983486066636865,4147,419230
0.01,4,0,9,0.5921402609519686,4232,419176
0.01,4,0,10,0.5823164143773293,4170,420874
0.01,4,0,11,0.5947538241409631,4245,420064
0.01,4,0,12,0.5781751264278783,4079,420000
0.02,0,0,0,0.6064358590193338,4246,419898
0.02,0,0,1,0.5915682631029066,4250,419819
0.02,0,0,2,0.6021336940274986,4275,420263
0.02,0,0,3,0.589918154110079,4231,420895
0.02,0,0,4,0.5794152598116811,4302,419428
0.02,0,0,5,0.591103226714571,4231,420608
0.02,0,0,6,0.5726063754010879,4243,420055
0.02,0,0,7,0.5679880929910033,4042,419369
0.02,0,0,8,0.5842874143704416,4108,419287
0.02,0,0,9,0.55146755597871,4193,419187
0.02,0,0,10,0.5443262021524369,4123,419078
0.02,0,0,11,0.5370303279547325,4182,420246
0.02,0,0,12,0.526537421241942,4417,420000
0.02,1,0,0,0.6042056434307943,4137,419897
0.02,1,0,1,0.5945602130982034,4194,420141
0.02,1,0,2,0.601332083497815,4256,420217
0.02,1,0,3,0.5940809072096359,4284,419080
0.02,1,0,4,0.5840414630355985,4113,420497
0.02,1,0,5,0.5781867977372609,4131,419228
0.02,1,0,6,0.576687710528667,4219,420142
0.02,1,0,7,0.5676466163441829,4369,419770
0.02,1,0,8,0.5733935527551731,4259,418434
0.02,1,0,9,0.5648442807013395,4178,420555
0.02,1,0,10,0.5432114310047473,4261,420398
0.02,1,0,11,0.5370209752111696,4064,419865
0.02,1,0,12,0.5235596121385081,4187,420000
0.02,2,0,0,0.6104851433440908,4049,420754
0.02,2,0,1,0.5930128801291209,4211,420769
0.02,2,0,2,0.5956903779525017,4332,419896
0.02,2,0,3,0.6105370581642275,4183,420134
0.02,2,0,4,0.5942596641188035,4147,419620
0.02,2,0,5,0.5772512706069804,4289,420750
0.02,2,0,6,0.5807362842431341,4135,419239
0.02,2,0,7,0.5711111510970105,4147,419922
0.02,2,0,8,0.5715239733070082,4306,419647
0.02,2,0,9,0.56672166356939,4082,419569
0.02,2,0,10,0.5470375022763055,4195,420026
0.02,2,0,11,0.5340528391126113,4150,420490
0.02,2,0,12,0.5357502206872842,4144,420000
0.02,3,0,0,0.6072802839956217,4261,420041
0.02,3,0,1,0.5987058134429585,4275,421305
0.02,3,0,2,0.5900169970867108,4151,418707
0.02,3,0,3,0.5884352880959798,4057,419699
0.02,3,0,4,0.5944671653107048,4260,419640
0.02,3,0,5,0.5831868387164966,4246,419243
0.02,3,0,6,0.5747780058939183,4290,419457
0.02,3,0,7,0.5726638519652368,4240,419737
0.02,3,0,8,0.5654066105888957,4350,419869
0.02,3,0,9,0.5611177964666018,4087,420598
0.02,3,0,10,0.545898462036954,4313,420996
0.02,3,0,11,0.531484417365338,4128,420275
0.02,3,0,12,0.5113478306171089,4292,420000
0.02,4,0,0,0.5934552311290947,4164,419559
0.02,4,0,1,0.6119276403228283,4272,420189
0.02,4,0,2,0.5973075947245773,4378,420198
0.02,4,0,3,0.5952146258779438,4246,420081
0.02,4,0,4,0.5833558889316623,4171,420742
0.02,4,0,5,0.5802246646932641,4127,419794
0.02,4,0,6,0.5890628903941858,4335,419690
0.02,4,0,7,0.5729937967947505,4182,420708
0.02,4,0,8,0.567773044897375,4124,419230
0.02,4,0,9,0.5458214752372212,4213,419176
0.02,4,0,10,0.5414911665150004,4206,420874
0.02,4,0,11,0.5465720901559655,4283,420064
0.02,4,0,12,0.5232046925522129,4125,420000
0.04,0,0,0,0.6001967645836881,4258,419898
0.04,0,0,1,0.5786793500210754,4248,419819
0.04,0,0,2,0.5667191926129007,4281,420263
0.04,0,0,3,0.5517552331238418,4226,420895
0.04,0,0,4,0.5334453354977917,4313,419428
0.04,0,0,5,0.5230694437193267,4340,420608
0.04,0,0,6,0.4917213226099565,4218,420055
0.04,0,0,7,0.46317517577552014,3979,419369
0.04,0,0,8,0.45411852649097006,4111,419287
0.04,0,0,9,0.4153516766210888,4133,419187
0.04,0,0,10,0.3913081003880515,4096,419078
0.04,0,0,11,0.36133873026022295,4168,420246
0.04,0,0,12,0.3355036978814105,4300,420000
