scenario_id,period,dgp_seed,method,test_mean,test_sd,valid_mean,n,training_rows,positives,selected_endpoint,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,ceiling,pct_of_ceiling,method_label,rank,regret_vs_best_deployable
low_base_high_holdout,late,0,R3_drop_unweighted,0.8166594468182803,0.008494592866832766,0.810645713653271,5,35606.6,1148.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.987665678325894,dropping,3.0,-0.004478820228794977
low_base_high_holdout,late,0,R4_ipw_pure,0.8211382670470753,0.011245985298294374,0.8219441698094979,5,35606.6,1148.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.9930823511343785,IPW,1.0,0.0
low_base_high_holdout,late,0,R5_asymmetric,0.818997439182666,0.008734373460199053,0.8178096528837451,5,35606.6,1148.6,mixed,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.990493239830862,Asymmetric IPW,2.0,-0.002140827864409278
low_base_high_holdout,late,0,R6_no_retrain,0.7986064491733127,0.007207798198232257,0.7741018732937867,5,77444.2,2498.2,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.9658324328595005,no retraining,5.0,-0.022531817873762572
low_base_high_holdout,late,0,R7_incremental,0.7678495540891472,0.017030566177858985,0.755303691572101,5,35606.6,1148.6,,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,0.8268581816091134,0.9286351289345266,incremental,6.0,-0.05328871295792803
low_shift,early,0,R0_benchmark,0.6007249494395273,0.0027946575369886856,0.6067518207346276,5,784070.6,25292.6,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,1.0,uncensored benchmark,,
low_shift,early,0,R1_holdout_only,0.5657438023787693,0.003043374712168567,0.5575363954214544,5,39221.2,1265.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,0.9417684464522489,holdout only,7.0,-0.03592613015418966
low_shift,early,0,R2_unflagged_only,0.601669932532959,0.0029228197143480175,0.5851697913038384,5,769302.2,24816.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,1.0015730711606259,no holdout,1.0,0.0
low_shift,early,0,R3_drop_unweighted,0.6008925871594035,0.0031794257399125137,0.5832725223506658,5,770201.2,24845.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,1.000279059026985,dropping,2.0,-0.0007773453735554492
low_shift,early,0,R4_ipw_pure,0.6006964447763472,0.0022585616969748815,0.5857951218457427,5,770201.2,24845.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,0.999952549559983,IPW,4.0,-0.0009734877566117683
low_shift,early,0,R5_asymmetric,0.6007808694448556,0.0021532132670595136,0.5856873608158871,5,770201.2,24845.2,mixed,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,1.0000930875359524,Asymmetric IPW,3.0,-0.0008890630881033257
low_shift,early,0,R6_no_retrain,0.5992116237003934,0.002710346282401143,0.5858500151888523,5,783376.2,25270.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,0.997480834214484,no retraining,6.0,-0.002458308832565592
low_shift,early,0,R7_incremental,0.5993784043884494,0.0028133667919166953,0.5857862439066464,5,117756.6,3798.6,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.6007249494395273,0.9977584665788657,incremental,5.0,-0.0022915281445096136
low_shift,late,0,R0_benchmark,0.597055934813264,0.006758242490315104,0.5977529005305706,5,780716.4,25184.4,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,1.0,uncensored benchmark,,
low_shift,late,0,R1_holdout_only,0.5619172366059777,0.006602679716800076,0.552583511445792,5,38638.4,1246.4,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.9411467231821816,holdout only,6.0,-0.03409002639004444
low_shift,late,0,R2_unflagged_only,0.5960072629960221,0.00699745677716878,0.5913968997595516,5,692726.0,22346.0,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.9982435953549815,no holdout,1.0,0.0
low_shift,late,0,R3_drop_unweighted,0.5957504372270173,0.006753197603820786,0.5927538430991073,5,696979.2,22483.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.9978134417394996,dropping,2.0,-0.00025682576900487586
low_shift,late,0,R4_ipw_pure,0.5891416984476259,0.006771339974906548,0.5889589715749148,5,696979.2,22483.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.986744564614179,IPW,4.0,-0.0068655645483962635
low_shift,late,0,R5_asymmetric,0.5957504372270173,0.006753197603820786,0.5927538430991073,5,696979.2,22483.2,R3_drop_unweighted,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.9978134417394996,Asymmetric IPW,2.0,-0.00025682576900487586
low_shift,late,0,R6_no_retrain,0.5153761192442881,0.004280199306179819,0.5216526203660415,5,781882.0,25222.0,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.8631957061200267,no retraining,7.0,-0.08063114375173408
low_shift,late,0,R7_incremental,0.5810864709836272,0.012575622930640577,0.584346639480329,5,696979.2,22483.2,,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.597055934813264,0.9732529853595183,incremental,5.0,-0.014920792012394934
no_shift,early,0,R0_benchmark,0.6003442592216822,0.0027678334336791095,0.6071462202434433,5,784262.8,25298.8,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,1.0,uncensored benchmark,,
no_shift,early,0,R1_holdout_only,0.5656766223543228,0.0027206563456685868,0.5568841815080635,5,39134.4,1262.4,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,0.9422537380264044,holdout only,7.0,-0.03516044907498439
no_shift,early,0,R2_unflagged_only,0.6005109061126311,0.0038626351641365833,0.5858089771217253,5,770157.8,24843.8,,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.6003442592216822,1.000277585549273,no holdout,3.0,-0.00032616531667606363
